Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th
Dave Cameron,FanGraphs,ATL,Kershaw,Scherzer,Syndergaard,Hendricks,Fernandez
Guy Curtright,The Sports Xchange,ATL,Scherzer,Hendricks,Lester,Kershaw,Bumgarner
Steve Gilbert,MLB.com,AZ,Scherzer,Hendricks,Lester,Syndergaard,Bumgarner
Jack Magruder,FanRagSports.com,AZ,Hendricks,Lester,Bumgarner,Scherzer,Cueto
Katsushi Nagao,Kyodo News,CHI,Scherzer,Lester,Bumgarner,Cueto,Hendricks
Bruce Miles,"Daily Herald, Arlington Heights, IL",CHI,Scherzer,Lester,Hendricks,Syndergaard,Fernandez
Matt Snyder,CBS Sports,CIN,Hendricks,Scherzer,Cueto,Lester,Bumgarner
C Trent Rosecrans,Cincinnati Enquirer,CIN,Scherzer,Lester,Bumgarner,Hendricks,Cueto
Jack Etkin,Honorary,COL,Scherzer,Hendricks,Lester,Bumgarner,Fernandez
Thomas Harding,MLB.com,COL,Scherzer,Lester,Cueto,Bumgarner,Hendricks
J.P. Hoornstra,Southern California News Group,LA,Kershaw,Fernandez,Scherzer,Syndergaard,Hendricks
Doug Padilla,ESPN.com,LA,Scherzer,Hendricks,Lester,Kershaw,Fernandez
Craig Davis,South Florida Sun Sentinel,MIA,Scherzer,Lester,Hendricks,Fernandez,Kershaw
Jon Heyman,FanRagSports,MIA,Scherzer,Lester,Hendricks,Kershaw,Fernandez
Todd Rosiak,Milwaukee Journal Sentinel,MIL,Scherzer,Lester,Cueto,Hendricks,Syndergaard
Tom Haudricourt,Milwaukee Journal Sentinel,MIL,Scherzer,Hendricks,Lester,Bumgarner,Fernandez
Joel Sherman,New York Post,NY,Scherzer,Lester,Kershaw,Hendricks,Bumgarner
Matthew Ehalt,The Record,NY,Scherzer,Hendricks,Lester,Kershaw,Bumgarner
Jim Salisbury,CSNPhilly,PHI,Scherzer,Lester,Bumgarner,Cueto,Hendricks
Todd Zolecki,MLB.com,PHI,Scherzer,Lester,Fernandez,Bumgarner,Syndergaard
Rob Biertempfel,Pittsburgh Tribune-Review,PIT,Scherzer,Jon Lester,Bumgarner,Hendricks,Roark
Stephen J. Nesbitt,Pittsburgh Post-Gazette,PIT,Scherzer,Lester,Hendricks,Bumgarner,Kershaw
John Maffei,San Diego Union-Tribune,SD,Lester,Scherzer,Hendricks,Arrieta,Cueto
Bernie Wilson,Associated Press,SD,Scherzer,Lester,Hendricks,Bumgarner,Fernandez
Jorge Ortiz,USA Today,SF,Scherzer,Bumgarner,Hendricks,Lester,Cueto
Alex Pavlovic,CSN Bay Area,SF,Scherzer,Lester,Bumgarner,Hendricks,Kershaw
Jenifer Langosch,MLB.com,STL,Scherzer,Lester,Hendricks,Kershaw,Bumgarner
Mark Saxon,ESPN.com,STL,Scherzer,Syndergaard,Jon Lester,Hendricks,Fernandez
Todd Dybas,The Washington Times,WAS,Scherzer,Bumgarner,Lester,Cueto,Hendricks
Mark Zuckerman,MASNsports.com,WAS,Scherzer,Hendricks,Lester,Bumgarner,Fernandez
