Name,Affiliation,Chapt.,1st,2nd,3rd,4th,5th
Ryan Fagan,Sporting News,ATL,Greinke,Arrieta,Kershaw,Scherzer,Cole
Dave Cameron,FanGraphs,ATL*,Arrieta,Kershaw,Greinke,Scherzer,Bumgarner
Jack Magruder,Fox Sports Arizona,AZ,Greinke,Arrieta,Kershaw,Cole,Scherzer
Zach Buchanan,Arizona Republic,AZ,Arrieta,Greinke,Kershaw,Scherzer,Cole
Mark Gonzales,Chicago Tribune,CHI,Arrieta,Greinke,Kershaw,Cole,Scherzer
Jesse Rogers,ESPN Chicago,CHI,Arrieta,Greinke,Kershaw,Cole,Melancon
C. Trent Rosecrans,Cincinnati Enquirer,CIN,Arrieta,Greinke,Kershaw,Scherzer,Cole
Hal McCoy,Dayton Daily News/FoxSportsOhio,CIN,Arrieta,Greinke,Cole,Bumgarner,Kershaw
Nick Groke,The Denver Post,COL,Kershaw,Greinke,Arrieta,Scherzer,Cole
Barney Hutchinson,Honorary,COL,Greinke,Arrieta,Kershaw,Cole,Bumgarner
Jeff Miller,Orange County Register,LA,Arrieta,Greinke,Kershaw,Cole,Melancon
Bill Plunkett,Orange County Register,LA,Greinke,Arrieta,Kershaw,deGrom,Scherzer
Manny Navarro,The Miami Herald,MIA,Grienke,Arrieta,Cole,Kershaw,deGrom
Jon Heyman,CBSSports.com,MIA,Greinke,Arrieta,Kershaw,Scherzer,Cole
Drew Olson,Milwaukee,MIL,Arrieta,Greinke,Kershaw,Scherzer,Cole
Bob Klapisch,Bergen Record,MIL*,Greinke,Arrieta,Kershaw,deGrom,Scherzer
John Harper,NY Daily News,NY,Arrieta,Greinke,Kershaw,Cole,deGrom
Adam Rubin,ESPN,NY,Arrieta,Greinke,Kershaw,Cole,deGrom
Meghan Montemurro,The (Wilmington) News Journal,PHI,Arrieta,Greinke,Kershaw,Scherzer,Cole
Ryan Lawrence,Philadelphia Daily News,PHI,Kershaw,Greinke,Arrieta,Scherzer,Bumgarner
Travis Sawchik,Pittsburgh Tribune-Review,PIT,Arrieta,Grenkie,Kershaw,Scherzer,Cole
John Perrotto,USA TODAY,PIT,Greinke,Arrieta,Kershaw,Cole,Melancon
Bernie Wilson,Associated Press,SD,Arrieta,Greinke,Kershaw,Cole,Melancon
JOHN J MAFFEI,San Diego Union-Tribune,SD,Arrieta,Greinke,Kershaw,Cole,Melancon
John Shea,San Francisco Chronicle,SF,Arrieta,Greinke,Kershaw,Scherzer,Bumgarner
Andrew Baggarly,San Jose Mercury News,SF,Kershaw,Arrieta,Greinke,Scherzer,Bumgarner
Joe Strauss,St. Louis Post Dispatch,STL,Greinke,Arrieta,Kershaw,Cole,Scherzer
Bernie Miklasz,"St. Louis Post-Dispatch, 101 ESPN Radio",STL,Arrieta,Kershaw,Greinke,Cole,Scherzer
Mel Antonen,SI.com,WAS,Greinke,Arrieta,Kershaw,Cole,Lackey
Jerry Crasnick,ESPN.com,WAS*,Arrieta,Greinke,Kershaw,Scherzer,Bumgarner
