"Pitcher, Team",1st,2nd,3rd,4th,5th,Points
"Jake Arrieta,  Cubs",17,11,2,,,169
"Zack Greinke, Dodgers",10,17,3,,,147
"Clayton Kershaw,  Dodgers",3,2,23,1,1,101
"Gerrit Cole,  Pirates",,,2,13,8,40
"Max Scherzer,  Nationals",,,,13,6,32
"Madison Bumgarner,  Giants",,,,1,6,8
"Jacob deGrom,  Mets",,,,2,3,7
"Mark Melancon,  Pirates",,,,,5,5
"John Lackey, Cardinals",,,,,1,1
