"Player, Team",1st,2nd,3rd,4th,5th,Points
"Clayton Kershaw, Dodgers",30,,,,,210
"Johnny Cueto,  Reds",,23,6,1,,112
"Adam Wainwright, Cardinals",,7,23,,,97
"Madison Bumgarner, Giants",,,,13,2,28
"Jordan Zimmermann,  Nationals",,,1,7,8,25
"Cole Hamels,  Phillies",,,,6,5,17
"Zack Greinke, Dodgers",,,,2,2,6
"Doug Fister,  Nationals",,,,1,3,5
"Jake Arrieta,  Cubs",,,,,3,3
"Craig Kimbrel,  Braves",,,,,3,3
"Stephen Strasburg,  Nationals",,,,,3,3
"Henderson Alvarez,  Marlins",,,,,1,1
