"Pitcher, Team",1st,2nd,3rd,4th,5th,Points
"Rick Porcello,  Red Sox",8,18,2,1,1,137
"Justin Verlander,  Tigers",14,2,5,4,3,132
"Corey Kluber,  Indians",3,6,12,8,1,98
"Zach Britton,  Orioles",5,3,2,5,9,72
"Chris Sale,  White Sox",,1,4,9,6,40
"J.A. Happ,  Blue Jays",,,3,2,1,14
"Aaron Sanchez,  Blue Jays",,,1,,3,6
"Masahiro Tanaka, Yankees",,,,1,4,6
"Andrew Miller, Yankees/Indians",,,1,,,3
"Michael Fulmer,  Tigers",,,,,1,1
"Jose Quintana,  White Sox",,,,,1,1
