"Player, Team",1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Points
"Mike Trout, Angels",19,8,1,,1,,1,,,,356
"Mookie Betts,  Red Sox",9,17,4,,,,,,,,311
"Jose Altuve,  Astros",,2,15,11,2,,,,,,227
"Josh Donaldson,  Blue Jays",,2,9,7,6,4,,1,1,,200
"Manny Machado,  Orioles",,,,5,7,9,4,3,1,1,150
"David Ortiz,  Red Sox",1,1,,3,4,8,5,4,3,1,147
"Adrian Beltre,  Rangers",1,,1,3,6,2,7,5,1,1,135
"Robinson Cano,  Mariners",,,,1,2,3,4,5,4,6,79
"Francisco Lindor,  Indians",,,,,2,,4,5,4,5,56
"Miguel Cabrera,  Tigers    ",,,,,,3,3,3,9,2,56
"Zach Britton,  Orioles",,,,,,,,1,3,2,11
"Kyle Seager,  Mariners",,,,,,,2,,,2,10
"Brian Dozier,  Twins",,,,,,,,1,1,4,9
"Edwin Encarnacion,  Blue Jays",,,,,,,,1,1,2,7
"Nelson Cruz,  Mariners",,,,,,1,,,,1,6
"Chris Sale,  White Sox",,,,,,,,1,,,3
"Jose Ramirez,  Indians",,,,,,,,,1,,2
"Justin Verlander,  Tigers",,,,,,,,,1,,2
"Adam Eaton,  White Sox",,,,,,,,,,1,1
"Corey Kluber,  Indians",,,,,,,,,,1,1
"Evan Longoria,  Rays",,,,,,,,,,1,1
