"Player, Team",1st,2nd,3rd,4th,5th,Points
"David Price, Rays",14,13,1,,,153
"Justin Verlander, Tigers",13,13,2,,,149
"Jered Weaver, Angels",,2,14,9,2,70
"Felix Hernandez, Mariners",,,5,10,6,41
"Fernando Rodney, Rays",1,,5,4,8,38
"Chris Sale,  White Sox",,,1,4,6,17
"Jim Johnson, Orioles",,,,1,3,5
"Matt Harrison, Rangers",,,,,2,2
"Yu Darvish, Rangers",,,,,1,1
